VEHICLE_ID,MODEL_NAME,VARIANT,EMISSION_STANDARD,FUEL,COLOUR,VEHICLE_CLASS,MAKE_YEAR,SEAT_CAPACITY,IS_ELECTRIC
a91ccf4464c66030089a7920c5057dcae2bccba535e62f2572669527f00336df,TATA,NEXON-XZA+ 1.2 RTN BSIV,BSIV,PETROL,GLASGOW_GREY,MOTOR CAR,01/12/2018,5,false
a92aa4f0c6e6e30b3dcb18dbca43a7705bee2e0526a15d873d76a3957074a98f,FTRAXTOOFANFM2.6CR305011+DHT4X2OA/CPS,ABS BSIV,BSIV,DIESEL,S WHITE,Maxi Cab,01/11/2018,12,false
a933ca98e811e134a90be86f45b9ac483ebafa65b15283e6bb6939e577e1e2a3,MARUTI,BALENO ZETA(AUTOMATIC) PETROL BSIV,BSIV,PETROL,PEARL ARCTIC WHITE,MOTOR CAR,01/04/2018,5,false
a93a126417fe2950e607423f85eee3105cbf75d8e589629b7617ca1418ecc63a,TVS,JUPITER GRANDE BSIV,BSIV,PETROL,STARLIGHT BLUE,MOTOR CYCLE,01/10/2018,2,false
a9518cc449b2de709ce0348d8f92368b09c04bc04ef4af485ec8423557b798a7,CR-V,2.0 CVT IVTEC BSIV,BSIV,PETROL,MODERN STEEL METALLIC,MOTOR CAR,01/01/2019,5,false
a9522f3bebd51fbf63065b7ec142039ca436d803908cf822fe53f0e8ee7f78da,JEEP,COMPASS LIMITED PLUS 1.4 MAIR DDCT BSIV,BSIV,PETROL,MAGNESIO GREY+BLACK ROOF,MOTOR CAR,01/12/2018,5,false
a966ae69c0f9d1854fa255febaf47b4d668e4f1375ef64b81f7cb203931af731,I20,MAGANA EXECUTIVE CRDI BSIV,BSIV,DIESEL,FIERY RED,MOTOR CAR,01/02/2018,5,false
a96b61d19bb69262722eaefe8daaa671a8c4bc624deda7861cba1d5b5f9ecaf6,VESPA,VXL 150 BSIV,BSIV,PETROL,MAT BLACK,MOTOR CYCLE,01/10/2018,2,false
a96b6a1df4ae7261205f50143b74ac85341554073cf274d290e6d5caf06cfa23,CBUNICORN160,E A S W FDISC R DRUM BRAKE BSIV,BSIV,PETROL,I RED-M,MOTOR CYCLE,01/01/2018,2,false
a98061b4a969d6cde25ec07ee92457304eb4e9de54fbac71ca615892397f1e6b,TATA,HEXA XTA 4X2 VARICOR 7S BSIV,BSIV,DIESEL,ARIZONA_BLUE,MOTOR CAR,01/08/2018,7,false
a99054b0d90be2e06bd846c78755704b008e548467f806edcd5ed051bec19b05,EICHER,PRO 1095XP H CAB HSD85KW BSIV,BSIV,DIESEL,GOLDEN BROWN,Goods Carriage,01/11/2018,3,false
a9938c1ef11224327556f154f73c4699ce2e3bfee4f64d14b8ece69a8d6a4c4f,KODIAQ,STYLE-AT 110KW TDICR4X4 BSIV,BSIV,DIESEL,VELVET RED,MOTOR CAR,01/05/2018,7,false
a997b4c739a4810244d8800174dd774dad84a6f52550bce75cf46b47ac87ceb5,FORD-ECOSPORT,1.5 DIESEL TITANIUM+ MT BSIV,BSIV,DIESEL,DIAMOND WHITE,MOTOR CAR,01/08/2018,5,false
a9a2ed5411281d321da9eff7afc840277277e544729d51ba56078dcd19f59cdd,LPT,909 EX2/38WBFFCT CWCAB WLBFOFPTO OPTIO BSIV,BSIV,DIESEL,WHITE,Chassis Transport,01/06/2018,2,false
a9b075cb31b44c4457cfc05344f58cadefaeb88f6ae85d05bac74010f2dcd5c6,MAHINDRA,DI 3200 CBN CHASSIS (GOODS) MM BSIV,BSIV,DIESEL,M5WHITE,Chassis Transport,01/10/2018,3,false
a9b844b34d2046f798bcf58ba6d1ca21c944d2d08e57bcfad952055bbe524ba0,LPO,10.2 T STARBUS ULTRA 36+D S FBT BUS BSIV,BSIV,DIESEL,WHITE,Ominibus,01/09/2018,37,false
a9c3d96a41d0ad80238ffeb19afc3b262d777b0906aedbccd610a64f349528ff,JAGUARF-PACE2.0LI4D132KWDAWD5DAUTOPRESTIGE,BSIV,BSIV,DIESEL,POLARIS WHITE,MOTOR CAR,01/12/2018,5,false
a9c8b776a4e19222f21b16f698127281fb9c8ba2c7503a12fd02d1ffe5e85529,TWO WHEELER TRAILOR TIPPING - 5 TONNS,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,RED,Trailer for Agriculture Purpose,01/10/2018,0,false
a9c9e0596bcd31f5019d70efd4d9688930a0f6902f2ae824235f3b81c57b95b9,ACTIVA125,W EAUTO S K S DRUMCBSWSTEELWL BSIV,BSIV,PETROL,MAT CRUST METALLIC,MOTOR CYCLE,01/05/2018,2,false
a9d1cd40a055ca19aa703263c9c0ed26277ce21e0622b5cf5b2cc51430e3b135,MAHINDRA415DI-BRANDNAME,BOOMIPUTRA BSIIIA,BSIIIA,DIESEL,RED,Tractor for Agricultural Purpose,01/01/2019,1,false
a9f251520e9b44f153af61480c0c1339f85b8abbd3feada96fc4c5f1b18e0125,VESPA,VXL 150 BSIV,BSIV,PETROL,YELLOW,MOTOR CYCLE,01/09/2018,2,false
a9f6f5e1fe1c5c17c9cee8af7c1f25bdd5e1a68337546c84d44a2274d238c227,MAHINDRA,BOLERO PIK-UP FB PS 1.7 T BSIV,BSIV,DIESEL,WHITE,Goods Carriage,01/11/2018,2,false
a9fdbee262914a9f3c1b106fdea53ffdb6bb71c032a22ff9408a0d89b2f46703,MAHINDRA,TUV3OO T10 MHAWK100 BSIV,BSIV,DIESEL,RED,MOTOR CAR,01/11/2017,7,false
aa04c7c0118199005e237e69a6c348d790e85b705d89672b285751bac81c7f2a,PLATINA,110 BSIV,BSIV,PETROL,COCKTAIL WINE RED,MOTOR CYCLE,01/12/2018,2,false
aa3c472fde979b676070c97bbd591f6497c0afdc5f6b2d7f3e183ef5d2038557,GRAND,I10 MAGNA 1.2 AUTO BSIV,BSIV,PETROL,STAR DUST,MOTOR CAR,01/06/2018,5,false
aa405ed94f5143e6b37679db113ac34f31cd396866179bd1f266c21c283b4636,AMAZE,1.2 VX-MT(I-VTEC) BSIV,BSIV,PETROL,WHITE ORCHID PEARL,MOTOR CAR,01/08/2018,5,false
aa7072b37872e7f3a6aed2e50668940d0019ac4cb721f6be117b9c23b3b2492a,AUDI,A4 35 TDI BSIV,BSIV,DIESEL,MYTHOS BLACK METALLIC,MOTOR CAR,01/09/2018,5,false
aa76ff711775678a692cef17544fe67293d11bf01acbaf954b6e5d0810fc8b11,MAHINDRA,IMPERIO SC VX 2WD BSIV,BSIV,DIESEL,BLUE,Goods Carriage,01/09/2018,2,false
aa83968026ebde1e114678b48d9e053d2c73403768de03d02fab22cac2ed2c1d,TVS,XL 100 BSIV,BSIV,PETROL,BLUE TS FISH,MOTOR CYCLE,01/11/2018,2,false
aa9f61d10832da66990a1697ce9fd1aa77d9ba5c432fb5c84066f8387d328b6d,MARUTI-CIAZ,SMART HYBRID DELTA BSIV,ELECTRIC,ELECTRIC,P-SILVER,MOTOR CAR,01/09/2018,5,true
aaad8a684c80fceedf8a5553771b5d83ae5e5d4928536cca5a0e0567cbc803be,FORD,FREESTYLE 1.2 PETROL TITANIUM MT BSIV,BSIV,PETROL,OXFORD WHITE,MOTOR CAR,01/09/2018,5,false
aaaf0d5dc3e8b65609d16c94f6122da47a393bb2d6d465bd08d30742203e8aa7,TVS,XL100 ITOUCH START BSIV,BSIV,PETROL,BLUE,MOTOR CYCLE,01/11/2018,2,false
aad76831d04dc354d2e7e505693cdbc950349924ef27353d478c89ff8ae9bbe2,MAESTRO,EDGE (CAST WHEEL) BSIV,BSIV,PETROL,PEARL SILVER WHITE,MOTOR CYCLE,01/03/2017,2,false
aadcd0ab95fc7b1cad9bc853edcf30de7b246786b61f07349c07480cd8f4bc90,CRETA-1.6,CRDI SX(O) BSIV,BSIV,DIESEL,POLAR WHITE,MOTOR CAR,01/12/2018,5,false
aade7b184bb5bdec348570ad492de9a5d7625a6fea9403173cb4caf74b4f0027,TATA,TIGOR XE 1.2 RTN BSIV,BSIV,PETROL,BERRY_RED,MOTOR CAR,01/09/2018,5,false
aadf298f9ab324d36f91c2f7456074b66c8ec420a2879858ea82cd21d7369e3d,HF,DELUXE (I3S-SELF-DRUM-CAST) BSIV,BSIV,PETROL,BLACK BLUE STRIP,MOTOR CYCLE,01/10/2018,2,false
aae5018736882049819e3cb91f965b52dbc33c5c60bfc315751571af90104814,DUET,(TELESCOPIC FORK) BSIV,BSIV,PETROL,MATT VERNIER GREY,MOTOR CYCLE,01/10/2018,2,false
ab02fb7ef448b2c573d614c9e7547224278f02a322200bd866a53ee529bf1346,GRAZIA,WEAS KS DRUM CBS (CBS)WSHEETWHEEL BSIV,BSIV,PETROL,N ORANGE-M,MOTOR CYCLE,01/08/2018,2,false
ab198837fa04c7c33e045fb168cab2fc53764311bbb43fc8d631518bd81f27c0,VESPA,SXL BSIV,BSIV,PETROL,WHITE,MOTOR CYCLE,01/07/2018,2,false
ab2d73766f87826b8cbdf317821761723ddecba60ba7652432a75a8ed2686d3b,AVENGER,180 STREET BSIV,BSIV,PETROL,EBONY BLACK(MET),MOTOR CYCLE,01/05/2018,2,false
ab33b8c318d8a9db14b47698450def7e89ede2a482ec3a3afc47fbd484c17963,SPLENDOR,PRO (SELF-DRUM-SPOKE) BSIV,BSIV,PETROL,VBK,MOTOR CYCLE,01/10/2018,2,false
ab5f68a5c3373276a32625e541c962c2e9fb85b2051c597e93aaf054e73e977d,JOHN DEERE 5310 V6 TRACTOR BSIIIA,TRAILER/TIPPER/TRACTOR/TANKER,BSIIIA,DIESEL,GREEN,Tractor for Agricultural Purpose,01/12/2018,1,false
ab6a2d572c9c8d94a1e3bea23ea90c1ca71726e8d1bd9fb2092e5716411590ac,MARUTI,IGNIS DELTA PETROL BSIV,BSIV,PETROL,NEXA BLUE,MOTOR CAR,01/10/2018,5,false
ab6be28a139a4a143ffb817ebb094e4f13579ec0c0e539ebfb31ae9b3f8f96e2,MARUTI,BALENO DELTA PETROL BSIV,BSIV,PETROL,FIRE RED,MOTOR CAR,01/11/2018,5,false
ab70b27983f8c558fe104eb0a0219513ce23f1287757cc9cf0d89e02f366ebd7,TVS,XL 100 HEAVY DUTY BSIV,BSIV,PETROL,TITANIUM GREY,MOTOR CYCLE,01/08/2018,2,false
ab71015e89f822930f11f47c0b9141306ca0658ec1ce2e2bcc9bb349addfbad3,TOYOTA,ETIOS LIVA GD (F) BSIV,BSIV,DIESEL,SILVER MICA METALLIC,Motor Cab,01/11/2018,5,false
ab7af09da17e0be8e847fb0981af1d3d2d1da67ec4d8a827f0e8fab4892d5bc7,ACTIVA,4G W E A S KS DRUMCBS W STEELMETAL BSIV,BSIV,PETROL,M A GRAY M,MOTOR CYCLE,01/09/2017,2,false
ab83e11c268e23a733ea3fe0cbc3124cb59271f0868dd44e28ffe4ef5ac2666e,MAHINDRA,BOLERO PICKUP PS 1.29T BSIV,BSIV,DIESEL,DIAMOND WHITE,Goods Carriage,01/11/2018,2,false
aba6a3a311a860a954a96d1bf89597837d790fd7c1363d57a319ddb97952ca80,5 TONNS 2WH TIPPING TYPE TRAILERS,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,GREAN & YELLOW,Trailer for Agriculture Purpose,01/12/2018,0,false
