MANUFACTURER_ID,MAKER_NAME
2b9ae793587060609c799b3916737fd26f5aeaad79facec21ec129d449bd8e57,"M/S SRI SRINIVASA ENGINEERING WORKS, NALGONDA"
2bee9254e4e48415cae3f2a0c2a9e5e5998a915f01ac14a512064d3a4f2ca6e8,M/S SREE  RAMA ENGINEERING WORKS
2c8d56fd35d45b04bb0e3d9e6428fcf58842301225a981eaeadd015b860a5b6f,M/S SRI BALAJI TRALLY WORKS
2dda3945740f95d7c4c4cd283caf237904b13efeb1edf2f2f790d7dad950507a,REDDY AGRO ENGG WORKS MEDAK
2f3843f31c6f130d93016637d38da6c2d410e127b84dd3c122f60a81c287a443,M/S BHAGYALAKSHMI ENGINEERING WORKS
2f3860d71c196578263c0beec54686b18dff8049d13197aec8a2c6b9cdf78d91,M/S SRI BADESHWARA ARGO INDUSTRIES
2ffa3dc085db3c74e22ac75bbcb9e6b58a785b5ab7175d87b6cdb29c15b26b3f,M/S SRI THIRUMALA  ENGINEERING WORKS
3068a035724a164f59887de8d1bcac6bef622d6698b8d48dde185dd4b479e8ef,M/S FORCE MOTORS LTD.PUNE
3116920b78b063b1a49890efc8e67b87973b3f237fb65c811ff67806fb2c9018,CATERPILLAR INDIA P LTD
31eb3a8a6adfb2bf67df8e5971df167a012bb4cb49abf212e02171acb3c53fe2,M/S SWASTHIK ENGINEERING COMPANY
329f180b4f9633facc1cac4bc5f16e066552b343e4607a829ab5abd794f93e0d,SAI TIRUMALA ENGG WORKS MEDAK
32b2c74b4dae55ea9bfd3b2cc2a9d01989a66b4340c2d1fe0f47a09061114537,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT INDIA PVT LTD MP
332bafca0a8bd897aa3cc0063e20c6cfa61c97acd9defeb4a7c2dc4953add644,AJAX FIORI ENGG. INDIA P.LTD
348c787671b26ba2f5ca4649d490ccc654456f61f70da0927cfec3e659d378f6,LAWAT MOTORS LLP
349abce07e77edfe0c97dc87c1d71638c32e790f4cb9de5ee2a530049c4b2809,M/S SRI VAYUPUTHRA ENGINEERING WORKS
3601f69685e4ff33b07674f16f37395862d5de71cb5f3aa062b69957cb54e488,M/S L.N.SWAMY ENGINEERING COMPANY
365df5bc25a560bf4f30d4649c42897cbe0377e05827ee62913c8632f6d55f25,M/ SRI LAXMI ENGINEERING WORKS RAICHUR
3708cf7d5adee50b5f7a833fe3811b5a55c80a2f36e2421376802009ed8ccaef,M/S ARAVIND ENGINEERING WORKS NIZAMABAD
3712da7630cf6e81ab18f96af9c827c64ed590e5fe458a08a0df2da5fa0a55f7,M/S SRI LAXMI NARAYANA ENGINEERS WORKS
3799fff9e0eb998ff215f254e9361cff78b2911e8138cd7b40de93e02c51b7a9,M/S HYUNDAI MOTOR INDIA LTD
37c8a5b934224844dcde50ed65ea83a60b44b8aad09ae59709e267d550cf28e8,HONDA CARS INDIA LTD
37dcbcbc2a6ac41fbf4df97e8768de0a14e5153560603300fbe8b49e7a9e5d46,M/S SRI RAGHAVENDRA AGRO WORKS
37ea73a421c796d07efca29cafc8e7e44a20b14e14ac0d77346e7b4ae329d996,M/S. OLECTRA GREENTECH LIMITED SECUNDERABAD
39aeada24f42b817eacfdcfe04a0bc98f1bd9e491a9e09f8d9bf6fce2ce48bb8,M/S JAGUAR LANDROVER LTD
39ca89c8dc4f6581527ce90d3f0337a0f4c9f40a397aa3da5060fa647f4ae67e,M/S VOLVO GROUP INDIA PRIVATE LIMITED
3a7b171f236d6efd2b9c53e8334da575178152d2bedfdf8885dc839af41ffc32,SRI VIJAYALAKSHMI INDUST   KMM
3a896fee2835e9e3f3f4abe2e733b457d81b53ed771c350d613806c1879f0b21,BANDARI SHANKAR INDUSTRIES NZB
3b2de3fdef89791fedd982c958d10ea64b6d9bdeaa621c379c86654c42000cef,M/S MNR ENGINEERING WORKS NLG
3b9205106d279ed95155e8a3112dfe98691210582457b71b0b2684d599d4f828,M/S  AHAMAD ENGINEERING WORKS KHAMMAM
3ba3ebd9c0b6647401c0f863a12ef0402434987c9110164544aaadd2d4e0c4de,M/S SRI RAGHAVA ENGINEERING WORKS
3d5afe9080f26e4c848e7804c569b37a1a15ae316f6edcabc8dc6ef6864c3785,M/S SAI RAM ENGINEERING WORKS WGL
3f2fbd178f6abdfab7d81ca6bf1fc3964583f2185ee092f1db43484220d0c736,SRI SAI ENGINEERING WORKS
41256805bd30f5cdaaa78aef4c3ce748648f7ed3b604437437797f0121928aaa,M/S SRI SAI TIRUMALA GENERAL ENGINEERING
43df8ee20bdf0665ae006ad419af4738b4e1453666ea0d8cb876cf5d2ff2a794,M/S PAVAN GENERAL ENGINEERING WORKS
43ed4951dd0b03ba357c25d6effb692bbb60e1f36e9197a957075eacbc83c208,"M/S SRI RAGHAVA ENGINEERING WORKS, NASPUR"
45774eee1ea6a5b24811ed61ce31476590095735a7458388ee2a6e6f8dff14cd,M/S MANITOU EQUIPMENT INDIA PVT LTD
45925a3229aaa3afbf842403a2f2563c2f36ea9b8b2b4bd632c3231a26605ab0,M/S SAI KRISHNA INDUSTRIES
473c243fa6803f3e691576c5fbb2555c8e3d6e558d46faf1762f5a262e3a6b99,SRI BALAJI AGRO INDUSTRIES
4753d95119e73676e560cd143302882272db8dc3f51a3b9f4ebea1b6c3b08162,SRI KALPANA ENGINEERING WORKS
